Data Size,Average,Standard Deviation
8119,10.9446798,11.93903261
8120,10.94398165,11.93746565
8121,10.95202937,11.93434617
8122,10.95110881,11.93486958
8123,10.94692815,11.93332207
8124,10.94692597,11.93300029
8125,10.95061867,11.93057299
8126,10.95754443,11.93189362
8127,10.9505478,11.9301517
8128,10.94680189,11.92734384
8129,10.94699874,11.92504442
8130,10.94924525,11.92479657
8131,10.95278935,11.92431429
8132,10.94624379,11.92512638
8133,10.94734594,11.92694712
8134,10.94777888,11.92329743
8135,10.95013506,11.92271344
8136,10.95059591,11.92035007
8137,10.95119448,11.9216211
8138,10.94786934,11.92072982
8139,10.95734812,11.92080864
8140,10.94754229,11.91538011
8141,10.952104,11.91728953
8142,10.95289022,11.91314312
8143,10.95224499,11.91850128
8144,10.95237019,11.91234243
8145,10.94784694,11.91516447
8146,10.95516302,11.91143031
8147,10.95467252,11.91474921
8148,10.95452249,11.90828106
8149,10.95004127,11.91406883
8150,10.94846631,11.90805265
8151,10.94854567,11.90579318
8152,10.95213902,11.9085574
8153,10.9516044,11.90388288
8154,10.95117981,11.90281633
8155,10.95038412,11.90451687
8156,10.95606676,11.90251766
8157,10.94855772,11.8977524
8158,10.95649172,11.9051381
8159,10.95528988,11.89778261
8160,10.95324105,11.89456799
8161,10.95318158,11.90023167
8162,10.95135683,11.89933278
8163,10.95188796,11.89875022
8164,10.9537718,11.89975033
8165,10.9509832,11.89149424
8166,10.95309911,11.8922599
8167,10.95581205,11.88984047
8168,10.94902278,11.88836672
8169,10.95251369,11.89254685
8170,10.95271366,11.88647326
8171,10.95084844,11.89085648
8172,10.95526611,11.88982897
8173,10.95125529,11.88847039
8174,10.95711289,11.88803474
8175,10.95392927,11.88476144
8176,10.95412558,11.88342765
8177,10.94917911,11.88614774
8178,10.95769791,11.88096441
8179,10.95274386,11.88273939
8180,10.9629773,11.8821969
8181,10.95436658,11.87884634
8182,10.95073418,11.8808435
8183,10.95552349,11.87904148
8184,10.95098729,11.87368957
8185,10.956632,11.87616776
8186,10.95741936,11.8778357
8187,10.94998526,11.87413681
8188,10.96038643,11.87482571
8189,10.95969216,11.8703363
8190,10.9542873,11.87333243
8191,10.96264779,11.87234193
8192,10.95621344,11.87115489
8193,10.95802756,11.86724571
8194,10.95579205,11.86539468
8195,10.96283513,11.86936683
8196,10.95519899,11.86412669
8197,10.95999504,11.86436859
8198,10.95697498,11.86141659
8199,10.95876546,11.8627814
8200,10.95822197,11.86328546
8201,10.95654738,11.86003572
8202,10.95033562,11.85613752
8203,10.95813921,11.85887781
8204,10.95855192,11.85813114
8205,10.95751691,11.85694662
8206,10.95787371,11.85651182
8207,10.95962475,11.85532046
8208,10.96079517,11.85495652
8209,10.9603328,11.85455533
8210,10.95892807,11.8550702
8211,10.95927681,11.85385672
8212,10.96329839,11.85483033
8213,10.9588744,11.84951955
8214,10.96312809,11.84820558
8215,10.95973729,11.84848787
8216,10.96117083,11.84731519
8217,10.96204667,11.84712527
8218,10.95537286,11.84740654
8219,10.95879425,11.84371569
8220,10.96170994,11.84543388
8221,10.95882575,11.84305535
8222,10.96438168,11.84168609
8223,10.96909957,11.8409109
8224,10.96093017,11.84144895
8225,10.96257148,11.84124948
8226,10.96075506,11.83908597
8227,10.96070721,11.84121692
8228,10.95612533,11.83792439
8229,10.95954455,11.83832266
8230,10.96639441,11.83692042
8231,10.9657963,11.83468312
8232,10.9573579,11.83619778
8233,10.96830425,11.8314574
8234,10.95798991,11.82973873
8235,10.95644109,11.82990386
8236,10.96565921,11.83001078
8237,10.96117085,11.82458357
8238,10.95555236,11.83138387
8239,10.96590805,11.82781861
8240,10.96556063,11.82700457
8241,10.97012536,11.82328533
8242,10.96174428,11.82690369
8243,10.96531136,11.82135136
8244,10.96736795,11.82274098
8245,10.96409215,11.8233403
8246,10.96734353,11.82129912
8247,10.96408608,11.81914286
8248,10.96412826,11.81986291
8249,10.96298672,11.81670221
8250,10.96568004,11.81908173
8251,10.96362083,11.81514759
8252,10.96406416,11.81413981
8253,10.96896545,11.81300781
8254,10.96394563,11.81156778
8255,10.96584007,11.8117526
8256,10.96472484,11.81364704
8257,10.96689173,11.81329839
8258,10.96329598,11.80928263
8259,10.96131521,11.80960832
8260,10.97068622,11.80697652
8261,10.97087797,11.81159651
8262,10.96075505,11.80526425
8263,10.96764727,11.80517873
8264,10.96402745,11.80454665
8265,10.96553921,11.80431689
8266,10.96624843,11.80519212
8267,10.96829415,11.79814238
8268,10.9624556,11.80041152
8269,10.96600455,11.80350407
8270,10.97249529,11.80148779
8271,10.96079348,11.801478
8272,10.96457857,11.80163613
8273,10.9716077,11.80438041
8274,10.96714552,11.79530701
8275,10.96719102,11.79324889
8276,10.96933281,11.79647589
8277,10.96630021,11.793047
8278,10.96760399,11.79122333
8279,10.96458554,11.78997545
8280,10.96829962,11.79113192
8281,10.96264242,11.7884018
8282,10.96483401,11.78706237
8283,10.96762512,11.79033721
8284,10.97000913,11.788417
8285,10.96704411,11.78546697
8286,10.97095503,11.78621661
8287,10.96958003,11.78294367
8288,10.96574949,11.77853984
8289,10.97153479,11.77925967
8290,10.96630959,11.78513818
8291,10.9650367,11.78286332
8292,10.96930458,11.77975978
8293,10.97194051,11.7762384
8294,10.97289148,11.77978263
8295,10.96908555,11.77743397
8296,10.9702603,11.77760014
8297,10.97427636,11.77410388
8298,10.96932839,11.77777055
8299,10.96996363,11.77475045
8300,10.96727482,11.77407764
8301,10.96820297,11.77012326
